TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
section,🔧 Fase 1 - Setup + Design System,,,,,,,,
task,T01 - Inicializar projeto Electron,"Configurar boilerplate com electron-vite + React + TypeScript. Definir estrutura de pastas: main/, renderer/, assets/, data/.",4,1,,,,,
task,T02 - Configurar processo main e preload,"Definir comunicação segura entre main e renderer via contextBridge / ipcMain. Ativar contextIsolation.",4,1,,,,,
task,T03 - Configurar modo kiosk e janela fullscreen,"Implementar opção de iniciar em fullscreen sem bordas, ocultando a taskbar do SO.",3,1,,,,,
task,T22 - Implementar design system FORJA,"Definir CSS variables: paleta vermelha + tons escuros, tipografia, espaçamentos. Criar componentes base.",3,1,,,,,
section,💾 Fase 2 - Sistema de dados e cache,,,,,,,,
task,T05 - Definir schema do data.json,"Modelar estrutura do arquivo de cache: jogos, créditos, mídia, tags, modalidade (single/multi).",4,1,,,,,
task,T06 - Integração com Google Sheets,"Implementar fetch da planilha via Google Sheets API (ou CSV export). Mapear colunas para o schema.",4,1,,,,,
task,T07 - Sistema de cache local,"Salvar data.json em userData do Electron. Carregar dados offline quando sem conexão.",4,1,,,,,
task,T08 - Botão de atualização manual de cache,Criar botão na UI para re-fetch dos dados da planilha e sobrescrever o cache local.,3,1,,,,,
section,🎮 Fase 3 - Catálogo + Launcher,,,,,,,,
task,T09 - Renderizar grade de jogos,"Exibir cards com capa, título, gênero e ícone de modalidade (single/multiplayer) a partir do data.json.",4,1,,,,,
task,T11 - Busca por texto,Campo de busca que filtra jogos em tempo real por nome ou estúdio.,3,1,,,,,
task,T12 - Filtros por tags (gênero / jogadores),"Implementar pills/chips de filtro para gênero e modalidade. Combinação de filtros deve ser aditiva.",3,1,,,,,
task,T16 - Launcher de executáveis locais (.exe),"Usar child_process (main process) para abrir .exe. Monitorar o processo filho para detectar encerramento.",4,1,,,,,
task,T17 - Modo espera enquanto jogo está aberto,"Ao lançar jogo local, Hub deve minimizar ou ocultar janela. Ao detectar fim do processo, retornar ao primeiro plano.",4,1,,,,,
task,T18 - Abertura de jogos web (Itch.io etc.),"Usar shell.openExternal() para abrir links no navegador padrão do sistema.",3,1,,,,,
section,🕹️ Fase 4 - Tela de detalhes do jogo,,,,,,,,
task,T13 - Layout da tela de detalhes,"Exibir sinopse, galeria de mídia, créditos (nome + logo do estúdio) e botão Jogar em destaque.",4,1,,,,,
task,T14 - Galeria de mídia (fotos e vídeos),"Carousel/lightbox com suporte a imagens e vídeos de gameplay. Navegável por teclado.",3,1,,,,,
section,📊 Fase 5 - Analytics,,,,,,,,
task,T19 - Registrar cliques e visualizações por jogo,"Logar silenciosamente cada abertura da tela de detalhes e cada clique em Jogar em um arquivo local.",3,1,,,,,
task,T20 - Medir tempo de sessão por jogo,"Calcular delta entre launch e encerramento do processo. Acumular por jogo no log.",3,1,,,,,
task,T21 - Exportação e sincronização de logs,"Botão para exportar CSV/JSON dos logs. Opcional: sync automático quando conectado.",2,1,,,,,
section,🎯 Fase 6 - Suporte a Gamepad,,,,,,,,
task,T04 - Configurar suporte a multi-input,"Habilitar leitura de gamepad via Gamepad API (XInput) e garantir navegação por teclado e mouse nativamente.",3,1,,,,,
task,T10 - Navegação por gamepad na grade,"Implementar seleção de cards com D-pad/analógico. Gerenciar foco visual e scroll automático.",3,1,,,,,
task,T15 - Navegação gamepad na tela de detalhes,"Mapear botões: B/Esc para voltar, A/Enter para ações, LB/RB para navegar galeria.",3,1,,,,,
section,⚙️ Fase 7 - Performance e distribuição,,,,,,,,
task,T25 - Otimizar uso de CPU/RAM em espera,"Garantir que o Hub não degrada performance do jogo em execução. Avaliar throttle de animações e processos.",3,1,,,,,
task,T26 - Fallback offline completo,"Testar comportamento sem internet em todas as telas. Garantir que cache.json portável funciona standalone.",3,1,,,,,
task,T23 - Animações e transições de tela,"Adicionar transições suaves entre grade e detalhes. Feedback visual de foco para navegação por gamepad.",2,1,,,,,
task,T27 - Empacotamento e distribuição,"Configurar electron-builder para gerar .exe instalável e versão portável (sem instalação).",3,1,,,,,
